City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Kirakira,SB,2022-09-13 15:36:42,-10.4544,161.9205,78.42,86,63,7.27
260,Hun,LY,2022-09-13 15:36:42,29.1268,15.9477,94.24,23,0,12.8
261,Rabat,MA,2022-09-13 15:33:53,33.9911,-6.8401,78.87,61,75,9.22
262,Bonthe,SL,2022-09-13 15:36:43,7.5264,-12.505,80.53,71,99,11.12
263,Handan,CN,2022-09-13 15:36:22,36.6006,114.4678,70.34,67,28,7.34
264,Bonfim,BR,2022-09-13 15:36:43,3.0833,-59.95,87.96,58,10,2.89
265,Vawkavysk,BY,2022-09-13 15:36:43,53.1561,24.4513,54.21,73,100,3.2
266,Geraldton,AU,2022-09-13 15:36:44,-28.7667,114.6,59.41,72,100,9.22
267,Am Timan,TD,2022-09-13 15:36:44,11.0297,20.2827,77.7,84,89,3.0
268,Rock Sound,BS,2022-09-13 15:36:44,24.9,-76.2,83.82,71,15,7.65
269,Sambava,MG,2022-09-13 15:36:45,-14.2667,50.1667,71.02,86,47,10.13
270,Batagay-Alyta,RU,2022-09-13 15:36:45,67.8006,130.4114,32.11,93,100,1.88
271,Daud Khel,PK,2022-09-13 15:37:45,32.875,71.5701,92.61,42,21,2.01
272,Iqaluit,CA,2022-09-13 15:37:46,63.7506,-68.5145,42.53,86,100,10.36
273,Srednekolymsk,RU,2022-09-13 15:37:46,67.45,153.6833,39.02,79,100,3.29
274,Lensk,RU,2022-09-13 15:37:46,60.7253,114.9278,42.15,89,99,16.51
275,Avarua,CK,2022-09-13 15:37:47,-21.2078,-159.775,71.65,83,29,5.75
276,Pyapon,MM,2022-09-13 15:37:47,16.2833,95.6833,77.85,91,89,4.94
277,Alpena,US,2022-09-13 15:37:48,45.0617,-83.4327,70.11,73,100,5.01
278,Kargasok,RU,2022-09-13 15:37:48,59.0556,80.8572,39.65,82,56,7.29
279,Filadelfia,US,2022-09-13 15:37:17,39.9523,-75.1638,81.3,75,40,6.91
280,Sayansk,RU,2022-09-13 15:37:49,54.1088,102.1648,39.92,68,100,2.77
281,Teknaf,BD,2022-09-13 15:37:49,20.8624,92.3058,78.12,89,100,3.67
282,Balezino,RU,2022-09-13 15:37:49,57.9796,53.0106,45.55,71,32,5.59
283,Kalmunai,LK,2022-09-13 15:37:50,7.4167,81.8167,81.25,76,100,11.88
